mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,impugnaciones,observaciones,centro,departamento,municipio,tipo
6942,,"{'TODOS': 5, 'CAMBIO': 8, 'MORENA': 3, 'VAMOS': 68, 'PIN': 1, 'RENOVADOR': 37, 'VALOR': 67, 'AZUL': 8, 'UNE': 11, 'FCN-NACION': 1, 'PODEMOS': 3, 'UC': 6}",9,35,262,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6943,,"{'TODOS': 5, 'CAMBIO': 0, 'MORENA': 2, 'VAMOS': 57, 'PIN': 1, 'RENOVADOR': 51, 'VALOR': 47, 'AZUL': 2, 'UNE': 16, 'FCN-NACION': 1, 'PODEMOS': 1, 'UC': 16}",11,35,245,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6944,,"{'TODOS': 3, 'CAMBIO': 4, 'MORENA': 1, 'VAMOS': 57, 'PIN': 0, 'RENOVADOR': 51, 'VALOR': 40, 'AZUL': 2, 'UNE': 8, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 10}",3,27,206,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6945,,"{'TODOS': 4, 'CAMBIO': 4, 'MORENA': 6, 'VAMOS': 42, 'PIN': 3, 'RENOVADOR': 58, 'VALOR': 36, 'AZUL': 5, 'UNE': 9, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 10}",5,26,208,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6946,,"{'TODOS': 7, 'CAMBIO': 3, 'MORENA': 0, 'VAMOS': 52, 'PIN': 0, 'RENOVADOR': 41, 'VALOR': 43, 'AZUL': 2, 'UNE': 15, 'FCN-NACION': 1, 'PODEMOS': 0, 'UC': 7}",7,33,211,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6947,,"{'TODOS': 5, 'CAMBIO': 3, 'MORENA': 3, 'VAMOS': 52, 'PIN': 0, 'RENOVADOR': 42, 'VALOR': 40, 'AZUL': 6, 'UNE': 11, 'FCN-NACION': 1, 'PODEMOS': 1, 'UC': 8}",8,15,195,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6948,,"{'TODOS': 3, 'CAMBIO': 4, 'MORENA': 0, 'VAMOS': 47, 'PIN': 0, 'RENOVADOR': 35, 'VALOR': 39, 'AZUL': 9, 'UNE': 8, 'FCN-NACION': 1, 'PODEMOS': 1, 'UC': 8}",4,21,180,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6949,,"{'TODOS': 8, 'CAMBIO': 1, 'MORENA': 1, 'VAMOS': 60, 'PIN': 0, 'RENOVADOR': 33, 'VALOR': 41, 'AZUL': 7, 'UNE': 4, 'FCN-NACION': 0, 'PODEMOS': 1, 'UC': 5}",4,10,175,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6950,,"{'TODOS': 2, 'CAMBIO': 1, 'MORENA': 0, 'VAMOS': 56, 'PIN': 0, 'RENOVADOR': 45, 'VALOR': 48, 'AZUL': 1, 'UNE': 3, 'FCN-NACION': 1, 'PODEMOS': 0, 'UC': 11}",1,8,177,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6951,,"{'TODOS': 1, 'CAMBIO': 2, 'MORENA': 0, 'VAMOS': 31, 'PIN': 1, 'RENOVADOR': 30, 'VALOR': 27, 'AZUL': 4, 'UNE': 2, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 10}",1,6,115,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
